--- Aggregate across windows ---
condition,n_windows,coverage_mean,coverage_std_across_windows,coverage_min,coverage_max,width_mean,width_std_across_windows,width_min,width_max
tech_shift (Weighted CAFHT: LR + ACI),13,0.8876347006262413,0.013323403304071717,0.8724160206718347,0.9146341463414634,0.05048844766361704,0.004733341502157049,0.04396297143798823,0.06138824104618548
tech_noshift (AdaptedCAFHT: uniform weights + ACI),13,0.8803353206257184,0.017104744764731665,0.8548611111111111,0.912940379403794,0.04933420006333717,0.004911073666437209,0.04182746913142837,0.060834065086980756
"tech_LRonly (AdaptedCAFHT: LR only, γ=0)",13,0.8720544250218979,0.01768289130100071,0.8401162790697675,0.9058265582655827,0.04654094649749301,0.0035334785786097053,0.04237315289242066,0.054558868948591126
"util_shift (Weighted CAFHT: LR + ACI, γ∈{0.001,0.005,0.01,0.05,0.1})",13,0.9232973774310541,0.02061684323348615,0.8859649122807017,0.975609756097561,0.04508756981648962,0.003938307795407621,0.040160666034967034,0.05225407989366726
"util_noshift (AdaptedCAFHT: uniform + ACI, γ∈{0.001,0.005,0.01,0.05,0.1})",13,0.9242941855615723,0.02006028600188722,0.8859649122807017,0.9780487804878049,0.04541172745747711,0.003818319298487637,0.04034474656436127,0.052570747637838686
"util_LRonly (LR only, γ=0)",13,0.9316053421080908,0.02351607833483529,0.8833333333333333,0.9788617886178862,0.04472270236512444,0.003673727472783436,0.041010530961453774,0.0535785116015776

"--- Tech per-window, three conditions ---"
window,shift_cov,shift_width,noshift_cov,noshift_width,lronly_cov,lronly_width,Δcov_shift_minus_noshift,Δwidth_shift_minus_noshift,Δcov_lronly_minus_noshift,Δwidth_lronly_minus_noshift,Δcov_shift_minus_lronly,Δwidth_shift_minus_lronly
20240102_20240229,0.9128472222222223,0.047171316446931455,0.9121527777777778,0.047504649102444375,0.8989583333333333,0.04326900865490981,0.000694444444444442,-0.0003333326555129204,-0.013194444444444509,-0.004235640447534564,0.01388888888888895,0.0039023077920216434
20240201_20240328,0.8831908831908832,0.04455103064231797,0.8753561253561254,0.0432222720859744,0.8828347578347578,0.04450479002845154,0.007834757834757844,0.0013287585563435678,0.007478632478632452,0.0012825179424771418,0.00035612535612539187,4.624061386642592e-05
20240301_20240430,0.8844850948509485,0.049037680534695496,0.877710027100271,0.04816880272926126,0.8655149051490515,0.04476710369472914,0.006775067750677488,0.0008688778054342372,-0.012195121951219523,-0.0034016990345321213,0.01897018970189701,0.0042705768399663585
20240401_20240531,0.8724160206718347,0.04396297143798823,0.8578811369509044,0.04182746913142837,0.8649870801033591,0.04345131600006397,0.014534883720930258,0.0021355023065598652,0.007105943152454719,0.0016238468686356061,0.007428940568475539,0.0005116554379242591
20240501_20240628,0.9017361111111111,0.05060630945673683,0.8909722222222223,0.048142242503123406,0.8815972222222223,0.04470232709159543,0.010763888888888795,0.002464066953613425,-0.009375000000000022,-0.003439915411527973,0.020138888888888817,0.005903982365141398
20240603_20240731,0.8767361111111112,0.05074818532284566,0.8548611111111111,0.04818813073610998,0.8538194444444445,0.04576558256328449,0.02187500000000009,0.00256005458673568,-0.0010416666666666075,-0.0024225481728254936,0.022916666666666696,0.0049826027595611735
20240701_20240830,0.8895348837209303,0.06138824104618548,0.8853359173126615,0.060834065086980756,0.8401162790697675,0.04895319331090568,0.004198966408268778,0.0005541759592047266,-0.04521963824289399,-0.011880871776075073,0.04941860465116277,0.0124350477352798
20240801_20240930,0.9146341463414634,0.0573617728843218,0.912940379403794,0.056747160352348974,0.9058265582655827,0.054558868948591126,0.0016937669376694275,0.0006146125319728274,-0.007113821138211351,-0.0021882914037578485,0.008807588075880779,0.002802903935730676
20240903_20241031,0.8875661375661376,0.04679386837124236,0.8865740740740741,0.046576440324257666,0.8756613756613757,0.04373312320705248,0.0009920634920634885,0.0002174280469846926,-0.010912698412698374,-0.002843317117205188,0.011904761904761862,0.0030607451641898806
20241001_20241129,0.8792989417989417,0.04810981098129288,0.8759920634920635,0.047691776221475385,0.8564814814814815,0.04237315289242066,0.003306878306878258,0.00041803475981749827,-0.01951058201058198,-0.0053186233290547225,0.022817460317460236,0.005736658088872221
